Player,era,w-l,app-gs,cg,sho,sv,ip,h,r,er,bb,so,2b,3b,hr,ab,b/avg,wp,hbp,bk
"Drew Beam, UT",4.22,9-2,19-19,2,0/0,0,102.1,103,58,48,27,99,16,1,15,398,0.259,3,8,0
"Ryan Prager, AM",2.95,9-1,19-19,1,1/4,0,97.2,83,36,32,20,124,12,0,12,367,0.226,1,5,0
"Khal Stephen, MS",3.28,8-3,16-16,0,0/1,0,96,76,37,35,21,107,10,0,13,356,0.213,6,6,0
"Mason Moore, UK",5.05,9-4,18-18,0,0/1,0,92.2,79,57,52,54,83,15,1,9,335,0.236,4,13,1
"Luke Holman, LS",2.75,9-4,16-16,0,0/3,0,91.2,57,36,28,33,127,12,1,6,327,0.174,8,12,1
"Aj Causey, UT",4.43,13-3,19-6,0,0/0,1,91.1,93,53,45,22,125,16,2,13,359,0.259,2,10,0
"Jurrangelo Cijntje, MS",3.67,8-2,16-16,0,0/1,0,90.2,70,39,37,30,113,13,1,11,331,0.211,2,12,0
"Trey Pooser, UK",3.5,7-1,19-13,0,0/1,2,90,70,37,35,35,82,14,0,10,331,0.211,8,9,0
"Bryce Cunningham, VU",4.36,7-4,16-16,1,1/1,0,84.2,69,49,41,34,96,17,0,14,318,0.217,7,6,0
"Hagen Smith, AR",2.04,9-2,16-16,0,0/2,0,84,41,22,19,34,161,5,0,5,284,0.144,2,5,0
"Gage Jump, LS",3.47,6-2,17-15,1,0/1,1,83,66,35,32,22,101,12,1,9,303,0.218,5,9,0
"Brandon Neely, UF",5.13,3-4,28-6,0,0/0,5,79,72,45,45,28,108,9,5,12,297,0.242,3,13,0
"Zander Sechrist, UT",3.12,6-1,20-19,0,0/2,0,78,76,31,27,16,76,5,0,12,300,0.253,0,0,0
"Leighton Finley, UG",4.14,6-1,17-16,0,0/2,1,76,74,40,35,28,76,9,0,15,292,0.253,6,5,0
"Evan Aschenbeck, AM",1.78,6-1,32-0,0,0/6,10,75.2,55,17,15,12,87,11,0,7,278,0.198,4,1,0
"Nate Snead, UT",3.11,10-2,29-1,0,0/2,6,75.1,71,28,26,26,61,9,1,9,283,0.251,2,8,1
"Jac Caglianone, UF",4.76,5-2,16-16,0,0/1,0,73.2,62,44,39,50,83,21,0,10,275,0.225,6,9,0
"Greg Farone, UA",5.02,4-3,17-16,1,1/1,0,71.2,75,42,40,24,68,17,0,15,281,0.267,5,7,2
"Dominic Niman, UK",6.85,8-5,17-16,1,1/1,0,71,82,59,54,25,67,16,1,9,292,0.281,3,13,0
"Kolten Smith, UG",5.56,9-3,20-4,0,0/0,0,69.2,73,51,43,20,105,15,2,16,275,0.265,3,7,0
"Carter Holton, VU",5.19,6-5,15-13,0,0/0,0,69.1,63,45,40,27,98,8,1,10,268,0.235,6,8,0
"Riley Maddox, UM",5.48,3-7,15-14,0,0/0,0,69,79,57,42,23,53,11,1,5,286,0.276,5,12,1
"Eli Jones, SC",5.24,3-4,17-15,0,0/1,0,68.2,90,45,40,20,56,15,1,4,289,0.311,3,7,0
"Ben Hess, UA",5.8,5-5,15-15,0,0/2,0,68.1,60,47,44,35,106,9,1,13,256,0.234,7,12,0
"Fisher Jameson, UF",3.99,5-0,34-1,0,0/1,2,67.2,60,32,30,18,79,11,0,10,253,0.237,7,3,0
"Justin Lamkin, AM",5.21,3-3,19-16,0,0/2,0,65.2,64,38,38,22,88,8,1,11,253,0.253,3,11,1
"Carter Rustad, MO",6.37,5-6,14-8,0,0/0,0,65,72,53,46,10,58,16,1,14,262,0.275,3,14,0
"Chris Cortez, AM",2.78,10-3,25-3,0,0/2,0,64.2,43,28,20,37,102,7,0,7,230,0.187,5,10,0
"Liam Peterson, UF",6.43,3-6,18-16,0,0/1,0,63,64,45,45,44,77,10,2,15,249,0.257,10,6,0
"Dylan Eskew, SC",4.6,3-5,19-15,0,0/1,0,62.2,58,42,32,26,40,14,0,8,242,0.24,3,13,0
"Chase Allsup, AU",5.63,4-3,13-11,0,0/0,0,62.1,72,45,39,16,74,18,1,13,255,0.282,9,5,0
"Logan Lunceford, MO",6.97,2-5,14-13,0,0/0,0,60.2,73,52,47,26,53,14,1,14,246,0.297,9,11,1
"Brady Tygart, AR",3.94,4-3,14-13,0,0/1,0,59.1,46,28,26,36,69,7,0,6,209,0.22,7,15,1
"Cade Fisher, UF",7.13,4-3,26-9,0,0/0,1,59.1,67,50,47,29,76,16,0,6,238,0.282,3,13,0
"Zane Adams, UA",5.37,4-5,16-13,0,0/3,0,58.2,62,40,35,27,47,17,1,3,233,0.266,6,1,0
"Mason Molina, AR",4.47,4-2,15-13,0,0/0,0,58.1,39,29,29,36,81,6,0,10,202,0.193,2,7,1
"Brian Zeldin, UG",5.66,3-3,23-0,0,0/1,6,55.2,55,36,35,30,51,11,1,13,205,0.268,1,3,0
"Ty Good, SC",4.39,5-2,21-3,0,0/1,1,55.1,43,31,27,28,70,8,1,9,200,0.215,13,6,0
"Liam Doyle, UM",5.73,3-4,16-11,0,0/0,0,55,48,40,35,21,84,9,0,11,209,0.23,1,7,2
"Garrett Gainey, SC",4,1-4,24-3,0,0/0,6,54,52,27,24,11,68,6,1,12,207,0.251,4,6,0
"Will McEntire, AR",4.83,5-0,30-1,0,0/3,4,54,56,31,29,18,65,12,0,5,207,0.271,3,0,0
"Bryce Mayer, MO",6.58,2-7,17-7,0,0/0,1,53.1,54,42,39,23,57,13,3,11,209,0.258,3,10,0
"Jd Thompson, VU",4.15,5-2,14-12,0,0/1,0,52,47,27,24,18,74,11,0,4,192,0.245,3,11,0
"Griffin Herring, LS",1.79,6-1,21-1,0,0/3,6,50.1,39,13,10,13,67,6,0,2,181,0.215,5,1,1
"Ryan Slater, UF",6.7,5-2,30-3,0,0/1,1,49.2,62,42,37,17,44,15,2,5,204,0.304,1,5,0
"Kirby Connell, UT",3.67,4-1,36-0,0,0/1,4,49,49,20,20,13,49,8,0,7,187,0.262,2,4,0
"Shane Sdao, AM",2.96,5-1,20-5,0,0/2,2,48.2,42,17,16,9,55,10,0,7,179,0.235,4,1,0
"Devin Futrell, VU",5.4,4-1,12-10,1,1/1,1,48.1,53,33,29,10,44,15,0,7,187,0.283,1,5,0
"Tanner Jones, AM",6.33,3-1,15-12,0,0/3,0,48.1,61,36,34,19,47,8,0,8,197,0.31,2,8,0
"Carson Myers, AU",4.94,2-3,14-8,0,0/0,1,47.1,50,26,26,26,35,4,1,8,184,0.272,3,4,0
"Cam Schuelke, MS",4.21,5-3,32-0,0,0/1,2,47,41,23,22,23,47,11,0,4,169,0.243,0,3,1
"Brooks Auger, MS",3.35,1-2,20-5,0,0/0,2,45.2,37,20,17,17,50,8,0,2,172,0.215,2,1,0
"Aaron Combs, UT",3.35,3-1,24-2,0,0/0,6,45.2,34,19,17,23,66,8,0,3,170,0.2,2,1,1
"Christian Mracna, UG",5.32,4-2,20-10,0,0/0,1,45.2,48,30,27,25,73,7,2,6,180,0.267,2,10,0
"Chris Veach, SC",3.63,5-2,26-0,0,0/0,3,44.2,33,18,18,24,54,8,1,3,158,0.209,4,3,0
"Grayson Saunier, UM",5.64,4-3,11-10,0,0/0,0,44.2,50,30,28,16,35,7,1,7,180,0.278,1,3,0
"Thatcher Hurd, LS",6.55,3-4,18-9,0,0/1,0,44,53,38,32,24,56,14,0,4,182,0.291,7,6,1
"Tyler Pitzer, SC",4.74,4-1,19-6,0,0/1,1,43.2,42,26,23,21,57,8,0,6,169,0.249,4,4,1
"Matthew Becker, SC",6.6,5-3,21-4,0,0/0,1,43.2,48,34,32,18,60,8,2,7,174,0.276,4,7,0
"Christian Herberholz, AU",5.4,2-2,16-7,0,0/0,2,43.1,49,27,26,16,49,13,1,5,171,0.287,7,4,1
"Nate Ackenhausen, LS",5.65,3-4,20-5,0,0/0,2,43,37,29,27,22,59,5,1,8,162,0.228,3,2,0
"Gabe Gaeckle, AR",2.32,3-3,22-0,0,0/1,7,42.2,26,14,11,19,57,6,0,1,156,0.167,2,2,1
"Brennan Seiber, VU",5.06,3-0,23-1,0,0/0,5,42.2,36,27,24,12,37,6,0,8,159,0.226,4,5,0
"Javyn Pimental, MO",3.61,2-2,11-10,0,0/0,0,42.1,31,18,17,15,46,7,0,2,151,0.205,1,12,1
"Tanner Bauman, AU",4.57,3-2,20-6,0,0/0,0,41.1,41,24,21,16,47,4,0,6,160,0.256,1,10,0
"Robert Hogan, UK",3.1,1-0,24-0,0,0/1,1,40.2,25,17,14,21,42,1,0,6,144,0.174,4,5,0
"Gage Wood, AR",4.46,3-2,22-3,0,0/1,2,40.1,42,23,20,8,56,8,2,6,160,0.263,0,5,0
"Gunnar Dennis, UM",7.88,4-2,16-8,0,0/0,0,40,55,39,35,21,46,12,0,5,169,0.325,3,9,1
"Brock Lucas, MO",3.63,4-0,18-0,0,0/0,2,39.2,32,18,16,23,32,8,2,3,149,0.215,3,5,0
"Greysen Carter, VU",6.58,4-2,18-4,0,0/0,3,39.2,38,33,29,31,38,6,0,4,152,0.25,9,5,1
"Jarvis Evans, UG",5.49,3-2,16-8,0,0/1,0,39.1,38,25,24,27,47,8,0,7,149,0.255,8,2,1
"Mason Nichols, UM",4.15,4-2,17-6,0,0/0,0,39,31,20,18,21,42,7,0,5,143,0.217,2,3,0
"Kade Anderson, LS",3.99,4-2,18-9,0,0/2,0,38.1,38,22,17,20,59,6,1,3,145,0.262,6,7,0
"Zach Harris, UG",6.87,5-2,20-7,0,0/1,0,38,45,37,29,18,45,5,2,9,160,0.281,2,3,0
"Travis Smith, UK",6.21,3-4,13-6,0,0/0,0,37.2,39,28,26,22,33,7,1,6,146,0.267,3,5,0
"Jacob Peaden, MO",5.3,3-1,20-0,0,0/0,3,37.1,42,32,22,22,33,9,1,8,148,0.284,2,9,1
"Daniel Wissler, MO",4.38,3-1,13-7,0,0/0,0,37,40,21,18,7,37,6,1,6,148,0.27,5,2,0
"Conner Mcbride, AU",5.89,3-3,12-7,0,0/0,0,36.2,38,26,24,19,35,6,0,8,138,0.275,4,4,1
"Tyson Hardin, MS",3.22,3-3,25-2,0,0/2,2,36.1,33,16,13,23,36,7,1,1,132,0.25,3,1,1
"Charlie Goldstein, UG",3.72,4-1,11-7,0,0/0,0,36.1,35,18,15,14,43,7,1,3,141,0.248,7,1,0
"Josh Roberge, UG",7,3-1,22-0,0,0/1,1,36,44,30,28,19,37,9,1,6,146,0.301,3,3,1
"Cameron O'Brien, UK",4.54,3-0,36-0,0,0/2,0,35.2,29,20,18,14,50,7,0,6,129,0.225,7,4,0
"Luke Mcneillie, UF",7.07,4-6,26-2,0,0/0,2,35.2,33,28,28,21,43,7,0,6,128,0.258,5,10,0
"Brad Rudis, AM",2.55,6-0,24-2,0,0/3,0,35.1,35,10,10,12,35,4,0,6,134,0.261,3,3,0
"Tyler Davis, MS",2.8,6-1,28-0,0,0/0,5,35.1,28,11,11,14,41,6,0,1,133,0.211,0,2,0
"Ryan Magdic, MO",4.63,1-3,14-4,0,0/0,2,35,30,18,18,11,37,8,1,6,131,0.229,4,3,1
"Tyler Fay, UA",7.94,1-2,23-0,0,0/0,1,34,38,32,30,16,32,9,1,6,141,0.27,4,8,0
"John Armstrong, AU",4.01,1-2,19-0,0,0/0,2,33.2,31,16,15,19,45,2,0,5,128,0.242,3,6,0
"Alton Davis Ii, UA",5.61,4-2,21-0,0,0/1,4,33.2,36,24,21,17,38,7,0,7,132,0.273,3,9,0
"Braylon Myers, UA",2.73,2-1,20-0,0,0/1,3,33,24,10,10,10,29,3,1,6,116,0.207,1,3,0
"Mason Morris, UM",6.55,1-2,23-1,0,0/0,1,33,29,26,24,21,37,6,0,4,121,0.24,4,7,0
"Chris Stamos, UT",4.5,3-1,22-11,0,0/0,0,32,24,17,16,16,35,6,0,8,115,0.209,1,2,0
"Josh Stewart, AM",4.26,2-2,25-0,0,0/3,0,31.2,31,15,15,9,39,3,0,7,120,0.258,3,1,0
"Wes Mendes, UM",6.82,2-1,17-2,0,0/0,1,31.2,33,24,24,19,43,7,0,7,121,0.273,3,5,0
"Miller Green, VU",3.16,2-4,20-0,0,0/1,3,31.1,26,17,11,9,34,0,1,3,112,0.232,5,8,0
"Roman Kimball, SC",6.32,2-2,15-8,0,0/1,0,31.1,24,22,22,32,42,7,0,6,114,0.211,2,4,0
"Aidan Moza, UA",9.77,3-3,20-3,0,0/0,1,31.1,40,40,34,19,40,13,2,9,128,0.313,9,5,0
"Johnny Hummel, UK",3.48,4-0,24-0,0,0/2,7,31,17,12,12,11,41,1,1,9,110,0.155,8,1,0
"Koty Frank, AR",5.58,2-0,20-0,0,0/1,4,30.2,30,21,19,9,30,8,0,4,116,0.259,2,6,0
"Jackson Nove, UK",6.16,1-0,28-0,0,0/2,2,30.2,25,21,21,23,42,3,0,2,112,0.223,3,7,1
"Dylan Loy, UT",2.37,2-0,21-5,0,0/2,0,30.1,21,8,8,10,37,5,0,1,108,0.194,5,1,0
"Dylan Watts, AU",7.12,0-4,15-5,0,0/0,1,30.1,45,31,24,6,33,10,0,7,130,0.346,3,5,0
"Ryan Ginther, VU",5.7,1-0,22-0,0,0/0,5,30,28,19,19,16,31,3,1,4,110,0.255,5,7,0
"Alex Philpott, UF",6.9,2-2,14-3,0,0/0,0,30,31,25,23,16,28,8,0,5,117,0.265,0,1,0
"Christian Little, LS",6.37,2-0,23-0,0,0/4,0,29.2,35,21,21,16,38,4,0,2,120,0.292,6,1,0
"Nate Dohm, MS",1.23,4-0,8-6,0,0/0,0,29.1,23,5,4,4,37,5,1,0,106,0.217,2,1,0
"Pico Kohn, MS",3.38,1-1,9-8,0,0/1,0,29.1,26,13,11,11,35,6,1,1,111,0.234,2,3,0
"Ian Lohse, MO",5.22,0-4,16-2,0,0/0,1,29.1,30,21,17,11,31,8,0,4,116,0.259,3,4,0
"Ben Bybee, AR",5.83,2-1,11-7,0,0/2,0,29.1,30,21,19,12,36,5,0,5,115,0.261,1,1,0
"Coulson Buchanan, UA",7.36,2-1,19-0,0,0/1,1,29.1,37,27,24,13,20,3,0,6,123,0.301,4,1,0
"Jake Clemente, UF",5.34,2-0,19-2,0,0/1,0,28.2,26,19,17,20,39,5,0,3,111,0.234,4,3,0
"Andrew Behnke, UT",3.54,3-1,23-0,0,0/1,0,28,23,11,11,9,39,1,0,6,108,0.213,2,4,0
"Samuel Dutton, LS",5.86,0-2,20-4,0,0/3,1,27.2,32,19,18,6,29,5,1,3,112,0.286,1,2,0
"Josh Mallitz, UM",4.28,0-1,17-0,0,0/0,0,27.1,27,14,13,20,30,6,0,3,107,0.252,5,4,0
"Colin Fisher, AR",2.67,6-1,10-7,0,0/2,0,27,24,9,8,8,27,2,0,3,100,0.24,0,3,1
"Joseph Gonzalez, AU",9.33,2-1,9-8,0,0/0,0,27,38,33,28,17,13,8,0,6,118,0.322,0,7,0
"Nolan Stevens, MS",4.72,2-3,14-1,0,0/1,0,26.2,27,14,14,8,28,2,0,4,104,0.26,3,4,0
"Evan Byers, UK",4.72,3-1,22-0,0,0/0,0,26.2,29,16,14,13,23,2,0,4,101,0.287,1,4,0
"Javen Coleman, LS",5.19,3-1,12-7,0,0/0,1,26,20,15,15,21,28,6,0,4,94,0.213,0,2,0
"Brayden Jones, UM",5.54,1-0,21-0,0,0/0,1,26,28,17,16,14,26,5,0,6,101,0.277,3,2,0
"Ethan Mcelvain, VU",3.24,1-2,11-4,0,0/0,0,25,20,13,9,15,29,7,0,3,88,0.227,1,3,0
"Parker Marlatt, SC",4.38,3-0,21-0,0,0/2,0,24.2,15,12,12,13,27,4,0,3,80,0.188,1,2,0
"Austin Morris, UA",4.74,2-0,14-0,0,0/1,0,24.2,27,13,13,9,21,8,0,3,93,0.29,2,6,0
"Gavin Guidry, LS",2.59,2-0,22-0,0,0/1,3,24.1,14,8,7,18,36,1,0,2,85,0.165,10,1,0
"Zane Badmaev, AM",2.59,3-0,17-1,0,0/1,1,24.1,18,7,7,5,29,2,0,0,90,0.2,0,3,0
"Justin Loer, LS",5.92,2-0,26-0,0,0/1,1,24.1,28,17,16,12,30,5,1,4,96,0.292,6,1,1
"Cam Tilly, AU",6.29,3-1,14-0,0,0/0,0,24.1,20,18,17,14,27,5,1,1,92,0.217,5,5,0
